,Kant,Marx,Hegel,Nietzsche,Heidegger,Kierkegaard,Sartre,Einstein,Jung,Oppenhiemer,Hilbert,Russell,Wittgenstein,Gödel,Turing,Darwin,Newton,Beauvoir,Leibniz,Descartes,Freud
Kant,,1,25,7,6,5,,3,,,2,,7,3,,,,,3,,
Marx,2,,24,3,4,5,19,1,,,,6,,,,,,6,,,17
Hegel,19,25,,3,2,22,2,,,,,1,,,,,,4,,,
Nietzsche,2,2,1,,11,15,,,2,,,,,,,,,,,2,14
Heidegger,2,,,13,,11,4,,,,,,1,,,,,,3,,1
Kierkegaard,,1,1,3,5,,,,,,,,6,,,,,,,,1
Sartre,,,1,1,5,20,,,,,,2,,,,,,25,,,3
Einstein,3,1,,,,,,,,5,19,8,1,20,2,,11,,5,,3
Jung,3,,,5,,,,,,,,,,,,,,,,,25
Oppenhiemer,,,,,,,,6,,,,,,,,,,,,,
Hilbert,1,,,,,,,,,,,,,4,1,,,,,,
Russell,2,,2,4,1,,2,6,,2,2,,25,2,,,,,9,2,
Wittgenstein,,,,,,4,,,,,,11,,,4,,,,1,,2
Gödel,,,,,,,,3,,,11,,,,4,,,,1,,
Turing,,,,,,,,,,,1,,2,1,,,,,6,1,
Darwin,,1,,3,,,,,,,,1,2,,,,1,,2,5,3
Newton,2,,,1,,1,,5,,,,,,1,1,2,,,25,10,
Beauvoir,,,1,,,,25,,,,,1,,,,,,,,,1
Leibniz,5,,1,,,,,1,,,,2,,4,,,17,4,,8,
Descartes,,,,1,1,3,,,,,,,1,,,,1,,11,,
Freud,,2,,4,,1,9,,25,,,,,,,,,,,,
